xrun: 20.09-s003: (c) Copyright 1995-2020 Cadence Design Systems, Inc.
TOOL:	xrun	20.09-s003: Started on Apr 24, 2024 at 13:52:37 EDT
xrun
	-Q
	-unbuffered
	-timescale 1ns/1ns
	-sysv
	-access +rw
	design.sv
	testbench.sv
	Top level design units:
		waveform_tb
xmelab: *W,DSEMEL: This SystemVerilog design will be simulated as per IEEE 1800-2009 SystemVerilog simulation semantics. Use -disable_sem2009 option for turning off SV 2009 simulation semantics.
    			.index(counter),
    			             |
xmelab: *W,CUVMPW (./design.sv,49|20): port sizes differ in port connection(16/5) for the instance(waveform_tb.dut) .
    			.index(counter),
    			             |
xmelab: *W,CUVMPW (./design.sv,59|20): port sizes differ in port connection(16/5) for the instance(waveform_tb.dut) .
    			.duty_cycle(dut_cyc),
    			                  |
xmelab: *W,CUVMPW (./design.sv,60|25): port sizes differ in port connection(1/5) for the instance(waveform_tb.dut) .
    			.index(counter),
    			             |
xmelab: *W,CUVMPW (./design.sv,70|20): port sizes differ in port connection(16/5) for the instance(waveform_tb.dut) .
    			.duty_cycle(dut_cyc),
    			                  |
xmelab: *W,CSINFI (./design.sv,60|25): implicit wire has no fanin (waveform_tb.dut.dut_cyc).
Loading snapshot worklib.waveform_tb:sv .................... Done
SVSEED default: 1
xmsim: *W,RNDXCELON: A newer version of the SystemVerilog constraint solver is being used which has better support for array-solving, new solve-order mechanism, and seed stability enhancements..
xmsim: *W,DSEM2009: This SystemVerilog design is simulated as per IEEE 1800-2009 SystemVerilog simulation semantics. Use -disable_sem2009 option for turning off SV 2009 simulation semantics.
xcelium> source /xcelium20.09/tools/xcelium/files/xmsimrc
xcelium> run
*------------S T A R T------------*
Time =  0, clk=0 , freq_in=59042, rst =1, out=xxxxxxxxxxxxxxxx
Time =  5, clk=1 , freq_in=60968, rst =0, out=0000000000000000
Time = 10, clk=0 , freq_in=  617, rst =1, out=0000000000000000
Time = 15, clk=1 , freq_in=37162, rst =1, out=xxxxxxxxxxxxxxx1
Time = 20, clk=0 , freq_in=33507, rst =1, out=xxxxxxxxxxxxxxx1
Time = 25, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 30, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 35, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 40, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 45, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 50, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 55, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 60, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 65, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 70, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 75, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 80, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 85, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 90, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time = 95, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =100, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =105, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =110, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =115, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =120, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =125, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =130, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =135, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =140, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =145, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =150, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =155, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =160, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =165, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =170, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =175, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =180, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =185, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =190, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =195, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =200, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =205, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =210, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =215, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =220, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =225, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =230, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =235, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =240, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =245, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =250, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =255, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =260, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =265, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =270, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =275, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =280, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =285, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =290, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =295, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
