xrun: 20.09-s003: (c) Copyright 1995-2020 Cadence Design Systems, Inc.
TOOL:	xrun	20.09-s003: Started on Apr 24, 2024 at 14:06:11 EDT
xrun
	-Q
	-unbuffered
	-timescale 1ns/1ns
	-sysv
	-access +rw
	design.sv
	testbench.sv
	Top level design units:
		testbench_ADPCMD
xmelab: *W,DSEMEL: This SystemVerilog design will be simulated as per IEEE 1800-2009 SystemVerilog simulation semantics. Use -disable_sem2009 option for turning off SV 2009 simulation semantics.
Loading snapshot worklib.testbench_ADPCMD:sv .................... Done
xmsim: *W,DSEM2009: This SystemVerilog design is simulated as per IEEE 1800-2009 SystemVerilog simulation semantics. Use -disable_sem2009 option for turning off SV 2009 simulation semantics.
xcelium> source /xcelium20.09/tools/xcelium/files/xmsimrc
xcelium> run
duvida sobre o arquivo.wav
*------------S T A R T------------*
Time =  0, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time =  1, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time =  2, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time =  3, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time =  4, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time =  5, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time =  6, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time =  7, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time =  8, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time =  9, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 10, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 11, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 12, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 13, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 14, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 15, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 16, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 17, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 18, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 19, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 20, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 21, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 22, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 23, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 24, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 25, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 26, clk=0 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
Time = 27, clk=1 , nrst =x, sop=x, eop=x, input=xxxx out=xxxxxxxxxxxxxxxx
